model_runtime,lat,lon,datetime,pc4,advies,wind_bft,wind_ms,lki,final
16-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-17T06:00:00+02:00,3511,code_red,2,2.5,1,True
16-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-17T12:00:00+02:00,3511,code_red,2,2.5,1,False
16-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-17T18:00:00+02:00,3511,code_red,2,2.5,1,False
17-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-17T06:00:00+02:00,3511,code_red,2,2.8,1,True
17-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-17T12:00:00+02:00,3511,code_red,2,2.8,1,True
17-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-17T18:00:00+02:00,3511,code_red,2,2.8,1,False
17-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-18T00:00:00+02:00,3511,code_red,2,2.8,1,False
17-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-17T12:00:00+02:00,3511,code_red,2,2.4,1,True
17-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-17T18:00:00+02:00,3511,code_red,2,2.4,1,True
17-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-18T00:00:00+02:00,3511,code_red,2,2.4,1,False
17-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-18T06:00:00+02:00,3511,code_red,2,2.4,1,False
17-10-2025 16:00,52.089770561127374,5.109876746789877,2025-10-17T18:00:00+02:00,3511,code_red,2,1.6,1,True
17-10-2025 16:00,52.089770561127374,5.109876746789877,2025-10-18T00:00:00+02:00,3511,code_red,2,1.6,1,True
17-10-2025 16:00,52.089770561127374,5.109876746789877,2025-10-18T06:00:00+02:00,3511,code_red,2,1.6,1,False
17-10-2025 16:00,52.089770561127374,5.109876746789877,2025-10-18T12:00:00+02:00,3511,code_red,2,1.6,1,False
17-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-18T00:00:00+02:00,3511,code_red,1,1.3,1,True
17-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-18T06:00:00+02:00,3511,code_red,1,1.3,1,True
17-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-18T12:00:00+02:00,3511,code_red,1,1.3,1,False
17-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-18T18:00:00+02:00,3511,code_yellow,1,1.3,1,False
18-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-18T06:00:00+02:00,3511,code_red,2,2.8,1,True
